Company,TypeName,Inches,Weight,screen_resolution,display_type,processor_speed,processor_brand,processor_type,ssd_storage,hdd_storage,flash_storage,ram,os,Price
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,2.3,Intel, Core i5,128,0,0,8,macos,71378.6832
Apple,Ultrabook,13.3,1.34,1440x900,HD,1.8,Intel, Core i5,0,0,128,8,macos,47895.5232
HP,Notebook,15.6,1.86,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,no,30636.0
Apple,Ultrabook,15.4,1.83,2880x1800,Quad HD,2.7,Intel, Core i7,512,0,0,16,macos,135195.336
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,3.1,Intel, Core i5,256,0,0,8,macos,96095.808
Acer,Notebook,15.6,2.1,1366x768,HD,3,AMD, A9-Series 9420,0,500,0,4,windows,21312.0
Apple,Ultrabook,15.4,2.04,2880x1800,Quad HD,2.2,Intel, Core i7,0,0,256,16,mac,114017.6016
Apple,Ultrabook,13.3,1.34,1440x900,HD,1.8,Intel, Core i5,0,0,256,8,macos,61735.536
Asus,Ultrabook,14,1.3,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,16,windows,79653.6
Acer,Ultrabook,14,1.6,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,41025.6
HP,Notebook,15.6,1.86,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,no,20986.992
HP,Notebook,15.6,1.86,1920x1080,Full HD,2,Intel, Core i3 6006U,0,500,0,4,no,18381.0672
Apple,Ultrabook,15.4,1.83,2880x1800,Quad HD,2.8,Intel, Core i7,256,0,0,16,macos,130001.6016
Dell,Notebook,15.6,2.2,1920x1080,Full HD,2,Intel, Core i3 6006U,256,0,0,4,windows,26581.392
Apple,Ultrabook,12,0.92,2304x1440,Full HD,1.2,Intel, Core M m3,256,0,0,8,macos,67260.672
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,2.3,Intel, Core i5,256,0,0,8,macos,80908.344
Dell,Notebook,15.6,2.2,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,39693.6
Apple,Ultrabook,15.4,1.83,2880x1800,Quad HD,2.9,Intel, Core i7,512,0,0,16,macos,152274.24
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.4,Intel, Core i3 7100U,0,1TB,0,8,no,26586.72
Dell,Ultrabook,13.3,1.22,1920x1080,Full HD,1.6,Intel, Core i5 8250U,128,0,0,8,windows,52161.12
Lenovo,Gaming,15.6,2.5,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,128,1TB,0,8,windows,53226.72
HP,Notebook,15.6,1.86,1366x768,HD,1.5,AMD, E-Series E2-9000e,0,500,0,4,no,13746.24
Dell,2 in 1 Convertible,13.3,1.62,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,43636.32
HP,Ultrabook,15.6,1.91,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,35111.52
Dell,Notebook,15.6,2.3,1366x768,HD,2,Intel, Core i3 6006U,0,1TB,0,4,windows,22305.1392
Apple,Ultrabook,13.3,1.35,1440x900,HD,1.6,Intel, Core i5,0,0,128,8,mac,58554.72
Dell,Notebook,15.6,2.2,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,42624.0
Dell,Ultrabook,15.6,1.88,1920x1080,Full HD,1.9,Intel, Core i7 8650U,256,0,0,8,windows,69157.44
HP,Notebook,17.3,2.5,1920x1080,Full HD,1.6,Intel, Core i5 8250U,0,1TB,0,8,windows,47738.88
